header,category,location,title,description,website_url,image_url,youtube_url
나의,경기,경기도,,"젊은 일자리로 가득한, GTX 플러스 프로젝트로 수도권 30분대 생활권",https://github.com/p4u-jm/jm-2022-pledges/blob/main/theminjoo_board/731927/731927.md,./img/cards_webp/region_webp/center_432_20220211192459_GJ.webp,https://youtu.be/R5bYWvjrSV0
나의,경기,가평,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_001/005_009_001.md,./img/cards_webp/region_webp/center_206_20220125095841_J3.webp,https://youtu.be/-Wiy-dPecGo
나의,경기,고양,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_002/005_009_002.md,./img/cards_webp/region_webp/center_219_20220126172137_M4.webp,https://youtu.be/GYnxkG10iZk
나의,경기,과천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_003/005_009_003.md,./img/cards_webp/region_webp/center_171_20220123162040_W4.webp,https://youtu.be/Ei_3HcRdj0U
나의,경기,광명,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_004/005_009_004.md,./img/cards_webp/region_webp/center_221_20220126093450_SB.webp,https://youtu.be/JuF3Dv0AbFE
나의,경기,광주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_005/005_009_005.md,./img/cards_webp/region_webp/center_199_20220124095759_UL.webp,https://youtu.be/ETZnqkTx_oU
나의,경기,구리,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_006/005_009_006.md,./img/cards_webp/region_webp/center_209_20220125100139_N7.webp,https://youtu.be/M-GRfHoLgd8
나의,경기,군포,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_007/005_009_007.md,./img/cards_webp/region_webp/center_229_20220127105709_VB.webp,https://youtu.be/aghavtthnrs
나의,경기,김포,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_008/005_009_008.md,./img/cards_webp/region_webp/center_234_20220127155349_44.webp,https://youtu.be/_dSuCYg9ERI
나의,경기,남양주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_009/005_009_009.md,./img/cards_webp/region_webp/center_207_20220128163803_QE.webp,https://youtu.be/hLCTaLFaMmw
